username,rating,content,at,sentiment
Pengguna Google,2,"Apk sampah, kok gak bisa upload 3 file tugas sekaligus?",2026-06-13 16:58:08,negatif
Pengguna Google,1,banyak bug,2026-06-12 13:32:27,negatif
Pengguna Google,5,kampus ungu icsada Bojonegoro memudahkan kami dalam belajar melalui program rpl dengan tenaga dosen yang ramah,2026-06-12 09:30:35,positif
Pengguna Google,1,"halo min mohon maaf min mau bertanya, min ini kenapa ya saya mau mengunduh file dari dosen ga bisa di unduh kenapa ya? btw kalau ada bug atau error di update lagi secara bertahap aja min jangan lupa memikiran realistisnya juga min",2026-06-09 15:49:46,negatif
Pengguna Google,1,lebih bagus versi sebelumnya,2026-06-06 09:58:04,negatif
Pengguna Google,1,bisa lagi kembalikan fitur yang dulu sebelum versi sekarang ini karena Lebih susah akses materi sekarang daripada yang sebelumnya,2026-06-04 15:32:34,negatif
Pengguna Google,5,sangat membantu,2026-06-03 07:20:15,positif
Pengguna Google,1,"muter-muter pas ngerjain, bikin waktu ke pangkas",2026-06-02 09:11:46,negatif
Pengguna Google,1,"spam notifikasi nilai tugas diterima pas di klik notifnya ga tertuju pada satu tugas hanya ada di beranda edlink, ini sangat menganggu.",2026-06-02 08:47:55,negatif
Pengguna Google,1,"kenapa tidak bisa terhubung ke internet yaa? saya mau ngumpulin tugas jadi tidak bisa apakah server error? sudah di uninstal tapi tetep sama, mohon perbaiki secepatnya.",2026-05-29 20:38:38,negatif
Pengguna Google,1,"saya upload tugas 5 kli pun gk kekirim k dosen, buat perbaikan lah ya, saya sampe gk ada nilai uts saya!",2026-05-29 08:10:39,negatif
Pengguna Google,1,materi susah didownload jadi nial gw kecil,2026-05-25 13:29:11,negatif
Pengguna Google,5,Easy to use,2026-05-24 21:09:14,positif
Pengguna Google,1,"aplikasi jelek, banyak tugas👎👎👎",2026-05-23 10:38:36,negatif
Pengguna Google,4,"tolong dong min balikin fitur yang bisa lihat materi yg udah dibagikan sebelum sebelumnya, sama yg bisa lihat presensi. soalnya butuh bnaget yg itu",2026-05-22 07:44:21,positif
Pengguna Google,5,"setelah diupdate aplikasinya, link filenya jadi tidak bisa dibuka. padahal dulu sebelum update, link filenya bisa dibuka dan ngak lag",2026-05-20 10:11:38,positif
Pengguna Google,5,bagus,2026-05-19 20:42:30,positif
Pengguna Google,5,min tolong dong servernya benerin ada tugas nih aduhhhh jadi gak bisa ngirimmm,2026-05-19 19:18:34,positif
Pengguna Google,1,gak jelas satu aplikasi tapi tampilan beda-beda di tiap akun mahasiswa bikin mahasiswa sering ketinggalan informasi karena tampilannya gak sama merata,2026-05-19 15:45:53,negatif
Pengguna Google,5,update yang luar bisaa👌🔥,2026-05-19 08:26:44,positif
Pengguna Google,1,gk bisa quiz,2026-05-18 11:24:09,negatif
Pengguna Google,1,Update kali ini mengecewakan..,2026-05-18 10:49:21,negatif
Pengguna Google,1,"saya sangat tidak suka dengan sistem yang baru ini, saya tidak bisa dengan leluasa dalam membuka semua sesi sesi yang ada",2026-05-18 09:26:31,negatif
Pengguna Google,1,update makin jelek anjir sekarang gak bisa liat detail kelasnya padahal sebelumnya bisa lihat waktu klik jadwal harian di kalender,2026-05-17 18:22:01,negatif
Pengguna Google,4,"Rapi, bagus overall. Tapi tolong buat supaya kalo mau up foto tugas jangan maks 10 mb, mau up banyak foto kami yang susah. sama kalo mau up foto dari galeri ke server, buat supaya jangan harus up satu-satu, capek",2026-05-12 22:47:04,positif
Pengguna Google,5,overall Aplikasi nya bagus sangat membantu tidak ada error atau bug Sama sekali saya suka aplikasi nya cukup membantu buat absensi saya di kuliah tingkatkan lagi ya,2026-05-09 01:21:17,positif
Pengguna Google,2,kaka kenapa saya punya pas login ada kesalahan server,2026-05-08 08:21:36,negatif
Pengguna Google,1,ribet hapus aja aplikasinya,2026-05-05 14:52:23,negatif
Pengguna Google,1,ruwet,2026-05-05 14:32:15,negatif
Pengguna Google,1,Tolong dioptimalkan lagi aplikasi edlink ini saya mau absen suka bermasalah Mulu kayak tidak valid lah padahal akun nya bener,2026-05-05 08:34:37,negatif
Pengguna Google,5,"halo min, saya telah melakukan pembayaran namun status di aplikasi belum terkonfirmasi telah dibayar otomatis, dan saya sudah email namun belum juga ditindaklanjuti , tolong tambahkan fitur konfirmasi manual dengan memberikan bukti foto pembayaran. update uang sudah dikembalikan dan harus dilakukan pembayaran ulang.",2026-05-05 05:02:50,positif
Pengguna Google,1,kenapa opsi membayar dengan BSI dihilangkan ya? padahal sebelumnya ada. ini membuat saya susah dalam melakukan pembayaran,2026-05-04 14:22:57,negatif
Pengguna Google,5,aplikasi yang sangat bermaanfaat untuk belajar,2026-05-04 11:28:15,positif
Pengguna Google,1,awalnua berfungsi dengan baik. tapi akhir2 ini bermasalah... gimana dong ini,2026-05-03 20:22:05,negatif
Pengguna Google,1,aplikasi error masa minta kode pas aku masukin kode verifikasi malah gak bisa udah berapa kali coba aneh,2026-05-02 21:20:26,negatif
Pengguna Google,5,lengkap,2026-04-29 19:56:58,positif
Pengguna Google,4,🙌makassih udah membantu bangetz 🤝🙏,2026-04-27 08:57:39,positif
Pengguna Google,1,tolong perbaiki apk setiap kali saya buka selalu terjadi kesalahan pada server,2026-04-26 06:32:27,negatif
Pengguna Google,5,ganti logo burung,2026-04-25 02:43:43,positif
Pengguna Google,4,"please tambahkan fitur buat karakter dan asesorisnya. agar lebih menarik, buat seperti sistem game.",2026-04-24 20:44:20,positif
Pengguna Google,1,"erorr mulu, ga bisa login",2026-04-22 21:23:35,negatif
Pengguna Google,1,suka ngga bisa diakses,2026-04-22 13:46:28,negatif
Pengguna Google,1,Aplikasinya masih banyak kekurangan nya contohnya pada saat apload tugas nya biar jaringan bagus tetap ada kendalanya,2026-04-20 21:10:54,negatif
Pengguna Google,2,"hilangkan sistem gak bisa di sreenshoot!!, tambahkan fitur absen upload dari galery!",2026-04-18 16:40:31,negatif
Pengguna Google,5,keren,2026-04-17 00:09:17,positif
Pengguna Google,1,tidak bisa di akses menggunakan wifi,2026-04-16 10:02:30,negatif
Pengguna Google,5,mempermudah bagi mahasiswa baru,2026-04-12 11:35:43,positif
Pengguna Google,5,"min, coba tolong tambahin itu deh, fitur buat nambahin asdos ke kelas di edlink.",2026-04-11 13:10:28,positif
Pengguna Google,1,Tolong diperbaiki sistem kalendernya masa libur nasional tetap terjadwal padahal dari pihak kampus sudah di liburkan,2026-04-09 07:52:16,negatif
Pengguna Google,4,tolong perbaiki lagi buat ruang penyimpanan nya dijadiin lebih dari 100mb karena saya gabisa ngumpulin tugass 😭😭 mau hapus tapi file nya masih dalam periode aktif,2026-04-08 19:49:57,positif
Pengguna Google,4,"saya kasih bintang 4 dikarenakan aplikasi ini kurangnya di bagian pengumpulan tugas dengan ukuran hanya 10 mb untuk kedepannya mungkin boleh lebih dari 10 mb, untuk fitur yang lain aplikasi ini sudah sangat bagus",2026-04-04 22:21:56,positif
Pengguna Google,1,terlalu banyak error,2026-04-02 16:58:08,negatif
Pengguna Google,1,"tolong tambahkan fitur upload scan qr dengan screenshot, orang yang hanya memiliki 1 device dan digunakan untuk zoom jadi tidak bisa scan pada layar yang di bagikan, hal ini sangat menyusahkan ketika zoom",2026-04-02 16:49:22,negatif
Pengguna Google,1,"jelek, harus punya 2 hp atau punya laptop kalo online untuk absen pribadi nya",2026-04-02 10:58:32,negatif
Pengguna Google,1,"setelah update ada beberapa bug di android seperti tidak bisa menekan link yang ada, jika menggunakan gform untuk kuis kadang jawaban terhapus sendiri dan masih banyak lagi",2026-04-02 07:49:10,negatif
Pengguna Google,1,sering restart sendiri,2026-03-31 11:42:37,negatif
Pengguna Google,1,"TOLONG DONG EDLINK SAYA KO EROR YA, banyak tugas kuliah tolong jangan eror eorrrrr",2026-03-31 09:55:02,negatif
Pengguna Google,1,"semenjak update, mau download materi jadi ga bisa lg. udh di refresh, relog, coba uninstall, ttp ga bisa di download. kacau, mana notif materi/tugas baru selalu telat, bahkan ga muncul sama sekali",2026-03-29 14:24:18,negatif
Pengguna Google,4,"aplikasi oke, tapi tolong dong untuk kapasitas penyimpanan jangan cuma 100MB cepet penuh soalnyaaa. file tugas 1mb aja ga bisa masuk(((",2026-03-17 12:03:09,positif
Pengguna Google,1,pas absen sudah kedetect hijau . pas klik malah tulisanya file upload maximal 2048kb lah setting cameranya juga dmna . tanya IT cuman suruh log out dan log in lagi . setelah itu tetep gak bisa.,2026-03-16 20:55:12,negatif
Pengguna Google,2,"mohon maaf, kadang tidak ada notifikasi muncul materi atau tugas atau kuis di hp saya, tolong di perbaiki lagi yaa",2026-03-16 13:20:18,negatif
Pengguna Google,1,lama kak waktu login,2026-03-16 11:27:51,negatif
Pengguna Google,2,"notif ga gc muncul kadang suka ketinggalan tugas, kalo nyelesain daily quest misi nya suka ga bisa di klaim, ada beberapa bug lainnya juga yang males banget gw jelasin, introspeksi diri aja sebagai developer",2026-03-10 12:58:06,negatif
Pengguna Google,5,𝑩𝒂𝒊𝒌,2026-03-09 06:32:37,positif
Pengguna Google,1,"face recognition ga bisa diubah, gimana nih developer???",2026-03-07 16:30:57,negatif
Pengguna Google,1,tolong untuk fitur absensi lebih lengkap. untuk yang tidak bisa hadir kesulitan ingin mengajukan izin. dan file yg di upload baik oleh mahasiswa ataupun dosen kadang tidak tampil,2026-03-06 19:36:42,negatif
Pengguna Google,5,sangat bagus,2026-03-05 19:10:02,positif
Pengguna Google,5,baik,2026-03-05 15:59:13,positif
Pengguna Google,1,"saya minta notifikasi 2 jam deatline, jadi kalok ada tugass yang deatline nya kurang dari 2 jam ada notif yang berupa kaya alaram yang bunyinya lama teruss paparkan notifikasi tugass tersebut notifikasi deatline nya bisa di atur nyala atau gak.",2026-03-03 07:48:01,negatif
Pengguna Google,2,tidak bisa klik link sama sekali di perangkat samsung saya.,2026-03-03 06:23:14,negatif
Pengguna Google,5,Sangat membantu sekali.,2026-03-02 17:14:48,positif
Pengguna Google,1,"susah jaringan, padahal loh full jaringan tapi tetap aja kendala nya di jaringan,dan ndk ada notifikasi tugas kadang terlambat ngumpul tugas karena jaringan dan otomatis edlink ndk bisa di buka",2026-03-02 11:52:53,negatif
Pengguna Google,2,Aplikasi ini sebenarnya membatu untuk absensi dan tugas akan tetapi terkadang ada bug untuk mengerjakan tugas muter terus akan tetapi waktu terus berjalan sehingga saya telat mengerjakan tugas yang telah diberikan dan tidak mendapat nilai yang memuaskan,2026-03-02 09:03:14,negatif
Pengguna Google,4,"nilai semester kemarin belum keluar, ini salah kampus apa salah siapa sih",2026-02-28 02:29:43,positif
Pengguna Google,5,lebih simple👍,2026-02-27 11:59:10,positif
Pengguna Google,1,ini kenapa sih aplikasi setiap saya masuk ke aplikasi nya selalu aja server bermasalah udh beberapa hari nih begini jadi gabisa ngerjain tugas,2026-02-22 18:49:33,negatif
Pengguna Google,5,min tolong adain fitur dark mode dong,2026-02-21 16:23:34,positif
Pengguna Google,2,banyak troubleshoting ga jelas pengiputan nilai gimana ya oiii tolong di perbaiki,2026-02-20 11:12:58,negatif
Pengguna Google,1,"tolong perbaiki lagi.... akun adikku tidak bisa masuk, tidak bisa ngambil krs dll.... banyak banget kendalanya.... tolong untuk developer optimalkan lagi....",2026-02-17 18:39:16,negatif
Pengguna Google,5,"bagus, tp ini nilai saya ga keluarrrr kenapaa yaa?? maintenance nya jgn lama²",2026-02-15 14:11:55,positif
Pengguna Google,1,aplikasinya selalu sering kasih tugas buat saya pusing kepala,2026-02-14 22:07:24,negatif
Pengguna Google,5,Bagus.,2026-02-14 00:30:30,positif
Pengguna Google,1,"ini kenapa ya, ko jadwal matkulnya bnyk yang ga muncul di edlik pdhl udah isi krs",2026-02-11 14:21:57,negatif
Pengguna Google,1,saya kurang UAS karna perizinan penyimpanan ngak bisa mau ngirim file tugas jga gak bisa tolong perbaiki lagi saya dari institut seni Indonesia Padang panjang,2026-02-10 19:33:30,negatif
Pengguna Google,5,Aplikasi Sangat Membantu Dalam Penyajian Informasi Perkuliahan,2026-02-10 12:37:41,positif
Pengguna Google,1,"apk gak jelas mau login aja lama banget, bikin sabarku ilang😡",2026-02-10 08:51:33,negatif
Pengguna Google,2,"sistem point gak jelas, notif juga sering gada. kurang membantu, sistem absensi juga nda jelas.",2026-02-02 11:30:42,negatif
Pengguna Google,1,lelet banget akhir-akhir ini,2026-02-02 10:53:54,negatif
Pengguna Google,1,"servernya tolong di tingkatin lagi, soalnya lag banget padahal jaringan saya bagus",2026-02-02 09:50:58,negatif
Pengguna Google,5,"saya Dosen UIN SAIZU PURWOKERTO menyampaikan apresiasi yang baik untuk aplikasi Edlink dari SEVIMA. Tampilan yang sederhana, tersedia ujian berbasis CBT (online) dan langsung menghasilkan nilai secara automatis di Edlink, presensi Mahasiswa yang simpel dan editing jurnal dengan mudah melalui Edlink. terima kasih",2026-01-30 15:16:07,positif
Pengguna Google,5,sangat membantu untuk perkuliahan,2026-01-30 14:46:33,positif
Pengguna Google,1,apk nya terlalu bermanfaat,2026-01-28 16:38:26,negatif
Pengguna Google,1,"ini bug apa gimana ya??? tolong aku ga bisa ngirim jawaban tugas, pas udah pilih file atau text tombol buat ngirimnya ilang aku udah ngalamin ini berkali kali gabisa... tolong diperbaiki",2026-01-28 09:51:36,negatif
Pengguna Google,1,"saya sudah mengatur waktu otomatis sesuai yg diinstruksikan, tetapi muncul terus pemberitahuannya",2026-01-27 23:26:08,negatif
Pengguna Google,2,"kenapa ya aku kan udah ngerjain kuis, tpi kok muncul lagi dan tulisannya kerjakan kuis, nilai ku gak ada, helppp!! 😭😭😭",2026-01-24 22:44:06,negatif
Pengguna Google,1,"aplikasi gk jelas, sudah 2x kali setiap ingin pengumpulan tugas susah sekali buat upload file nya. bisa sih di atasi pake laptop tapi kalau lagi gk bawa laptop bahaya banget, dan harus konfirmasi ke dosennya itupun kalo dosennya pengertian.",2026-01-22 14:48:19,negatif
Pengguna Google,2,ini gak tau masalahnya datang dari kampusnya atau emang dari aplikasinya yang dimana mata kuliah yang muncul dibagian menu transkrip tidak lengkap dan nilai IPKnya juga beda dengan yang ada pada menu kemajuan belajar. dan ada mata kuliah yang hilang pada menu kemajuan belajar juga sehingga mengurangi SKS yang ada (saya gak tau ini dari aplikasinya atau kampus) dan masalah lainnya tidak bisa melihat nilai dari periode sebelumnya,2026-01-20 19:58:19,negatif
Pengguna Google,4,Aplikasi nya bagus untuk pelajaran,2026-01-19 08:10:16,positif
Pengguna Google,4,mohon dong untuk di perbaiki daily quest nya di bagian point quiz dan pengumpulan tugas nya gak di diklaim padahal udah ada 2 Minggu saya ngerjainnya tapi masih belum bisa di klaim tolong segera di perbaiki lagi dong 🙏,2026-01-18 14:31:08,positif
Pengguna Google,1,"kenapa edlink tidak bisa mengakses pakek wifi dan tidak bisa ngirim tugas, mohon cepat di perbarui, aplikasi masuk error truss",2026-01-16 20:03:16,negatif
Pengguna Google,5,aplikasi bagus buat mempermudah percakapan dosen dan mahasiswa tapi akhir akhir ini engga bisa klaim point tugas dan quiz yah tolong dong perbaiki lagi aplikasi 🙏,2026-01-14 08:21:28,positif
Pengguna Google,5,ok,2026-01-14 00:07:52,positif
Pengguna Google,1,"GJ, disuruh atur waktu mulu padahal udah",2026-01-13 20:26:37,negatif
Pengguna Google,2,"Aplikasi ""BODOH"", karena tidak bisa mentedeksi ketersediaan internet lewat data seluler saat mengerjakan quiz, perbaiki itu woi",2026-01-13 11:44:05,negatif
Pengguna Google,1,"tolong lah notifikasi nya kok sering ga adaaa, apa lagi kalo ada dosen yg ngasih pemberitahuan tolong lah diperbaiki😒",2026-01-13 10:22:21,negatif
Pengguna Google,1,koin sekarang tidak bisa di claim lagi,2026-01-11 08:50:23,negatif
Pengguna Google,1,"servernya di tingkatin lain ya, saya suka ngelag tiba tiba padahal jaringan saya bagus mana lagi quis ngelag nya",2026-01-07 10:07:47,negatif
Pengguna Google,1,"kok edlink ak ga masuk notifikasi kalo ada tugas teman2 ku pada bisa kenapa punya ku gabisa , gimana mau kirim tugas kalo gini",2026-01-05 10:55:32,negatif
Pengguna Google,1,"Halo, saya pengguna aplikasi ini. Secara umum aplikasinya bagus dan membantu, tapi ada masalah besar: akun sering otomatis log out jika tidak membuka aplikasi beberapa hari. Hal ini membuat saya tertinggal materi dan tugas penting dari dosen, yang bikin stress banget. Mohon fitur ini diperbaiki supaya pengguna bisa mengandalkan aplikasi ini tanpa khawatir ketinggalan info.",2026-01-04 00:19:25,negatif
Pengguna Google,2,saya tidak bisa login padahal saya sudah memasukkan ID dan password dengan benar. Tolong diperbaiki segera developer,2026-01-03 11:10:17,negatif
Pengguna Google,5,suka ngelag gasuka,2025-12-26 15:00:41,positif
Pengguna Google,5,sangat membantu untuk dunia pendidikan,2025-12-26 11:23:34,positif
Pengguna Google,2,"Kenapa edlink saya tidak bisa loginnn tolong saya mau ngumpulin tugas, tolong atasi sekarang",2025-12-25 15:37:33,negatif
Pengguna Google,5,"Dengan adanya akun ini memperlancar sistem pembelajaran, terimakasih kepada STIK Sint Carolus yang telah memberi fasilitas ini. GBU",2025-12-22 14:48:43,positif
Pengguna Google,5,"aplikasinya bagus, tapi terkadang saat saya masukkan nilai angkanya bisa berubah sendiri 80 jadi 79, 70 jadi 69. nge bug atau apa, jadi tolong di perbaiki",2025-12-20 14:23:02,positif
Pengguna Google,4,memudahkan,2025-12-20 08:31:50,positif
Pengguna Google,1,notif jadi tidak muncul setelah di update👎👎,2025-12-19 19:44:12,negatif
Pengguna Google,1,makin di update makin lemott pliss,2025-12-17 19:51:39,negatif
Pengguna Google,5,👍👍👍👍,2025-12-16 12:31:49,positif
Pengguna Google,1,notif telat kadang tidak masuk terus quiz padahal internet ada dan stabil dibilang no connection hadeh nilai auto 0 aneh bat,2025-12-16 08:04:00,negatif
Pengguna Google,5,"sangat bagus,berguna untuk perkuliahan",2025-12-12 19:57:12,positif
Pengguna Google,5,"kenapa edlink saya tidak muncul notifikasi,sehingga saya banyak ketinggalan informasi/ tugas ,,biasanya sebelum edlink update notifikasi nya selalu muncul di hp saya 😭",2025-12-12 13:07:34,positif
Pengguna Google,1,"setelah update tidak ada notif, saya jadi terlewat tugas dan di DO",2025-12-10 14:46:56,negatif
Pengguna Google,1,"tolong dong perbaikan nya,sering ketinggalan notifikasi kelas online jangan kaya gitu dong",2025-12-10 05:12:18,negatif
Pengguna Google,5,"Aplikasi yang sangat keren, terima kasih sudah membuat aplikasi yang keren seperti ini. Gokil",2025-12-09 17:13:15,positif
Pengguna Google,1,"aplikasi gajelas, notifikasisekarang sering tidak masuk sehingga saya banyak ketinggalan tugas dan quiz",2025-12-09 16:07:11,negatif
Pengguna Google,1,selalu terjadi bug kalau mau claim point,2025-12-07 11:48:35,negatif
Pengguna Google,1,"Kenapa beberapa hari ini, untuk klaim koin tidak bisa lagi????. Padahal sebelum nya normal aja sebelum di update",2025-12-07 07:55:48,negatif
Pengguna Google,1,parah abis update jadi tidak bisa ngerjain quiz,2025-12-06 22:35:42,negatif
Pengguna Google,1,"sering banget eror, sudah nonton video 100% tapi tidak terecord",2025-12-06 11:13:58,negatif
Pengguna Google,1,notifikasinya sering ga muncul padahal izin semua udah di aktifin,2025-12-04 07:20:50,negatif
Pengguna Google,4,"Jadi ada iklan pas awal"" pake gak ada iklan,trus biasanya tugas yang udah di kerjain suka ilang sendiri sekarang mah gak ilang, trus sekarang jadi gak bisa lihat partisipan yang udah ngumpulin tugas",2025-12-03 18:57:32,positif
Pengguna Google,5,Sangat membantu,2025-12-03 01:47:14,positif
Pengguna Google,5,"bagus, dan sangat berguna sebagai e-learning yang membantu mahasiswanya untuk belajar, mengkaji ulang mata kuliah, dan melihat sudah sampai manakah kemampuan diri kita.",2025-12-02 10:08:07,positif
Pengguna Google,5,mantab,2025-12-02 09:46:46,positif
Pengguna Google,5,apknya bgus untuk melihat jadwal kuliah dan degan absen menggunakan barcode degan mudah,2025-12-01 23:04:25,positif
Pengguna Google,1,"di perbarui bukannya makin bagus malah sering error, masa ngerjain quiz sinyal bagus di bilang terkendala sinyal internet gimana sih?",2025-12-01 21:37:38,negatif
Pengguna Google,2,"jaringan saat mengerjakan quiz sangat buruk, saya sudah memilih yang benar, malah menjadi salah, dan itu sering terjadi. memang ada kemungkinan jaringan sendiri tapi mohon di mengerti jika kami di berada di tempat yang jelek dengan jaringan.",2025-12-01 14:50:18,negatif
Pengguna Google,5,aplikasi yang sangat membantu di saat kita berada di mana saja karena kita bisa mengetahui informasi terupdate,2025-11-29 12:06:43,positif
Pengguna Google,1,lagi kuis tiba tiba tidak terhubung internet padahal udah pake wifi sama data lancar,2025-11-28 16:54:39,negatif
Pengguna Google,1,ulah selfi selfi lah lier min,2025-11-28 13:13:23,negatif
Pengguna Google,5,aman,2025-11-28 12:51:23,positif
Pengguna Google,1,"akhir2 sekarang, susah untuk di akses",2025-11-26 19:27:18,negatif
Pengguna Google,1,student engagement score kok hilang sih? terus gimana buat yang kuliah online lihat absennya dari situ,2025-11-26 11:43:28,negatif
Pengguna Google,4,"Saat kuis, alangkah baiknya ada keterangan soal yang salah dan benar, agar kami tahu soal-soal apa saja yang kami salah dalam menjawabnya, seringkali bingung sebenarnya soal yang kami jawab salah itu yang mana?!?!? Semoga ada perbaikan.",2025-11-21 13:09:26,positif
Pengguna Google,1,hapus aja fitur presensi pakai scan wajah banyak orang ga bisa presensi dan di anggap dosen ngga hadir gara-gara masalah ini. fitur ini sangat merugikan banyak mahasiswa.,2025-11-20 13:56:33,negatif
Pengguna Google,5,seneng sekali bisa menjelajah di aplikasi edlink,2025-11-19 22:12:59,positif
Pengguna Google,1,"Untuk bagian keuangan sangat tidak Ter update, Kita yg kelas karyawan Hanya bisa Melihat tagihan di aplikasi, sedangkan ada pembayaran lain yg wajib hrus di lunasi selain yg di aplikasi, tlong untuk sistem nya di update lagi/di sosialisasikan kembali ke kampus² nya agar semua pembayaran transparan di aplikasi!",2025-11-17 09:20:42,negatif
Pengguna Google,5,mantap sangat membantu mahasiswa,2025-11-16 20:39:33,positif
Pengguna Google,5,"udh bagus skr semua lancar, nah gini dong mantap",2025-11-15 13:41:24,positif
Pengguna Google,5,mungkin di bagian leaderboard mahasiswa bisa ganti dengan fto mahasiswa,2025-11-11 22:33:59,positif
Pengguna Google,5,"Tolong pihak edlink plis buatkan apabila ada mahasiswa belum ngumpul tugas 30menit sbelum waktunya dikasih notifikasi untuk peringatannya , karna hal itu sangat membantu tolong dibaca ulasan ini",2025-11-11 09:43:04,positif
Pengguna Google,5,"Aplikasi yang sangat bermanfaat dan membantu dalam proses perkuliahan, jika ada masalah atau kendala tersedia room umum untuk menulis kendala dan akan ditindak lanjuti untuk diperbaiki",2025-11-10 13:51:49,positif
Pengguna Google,1,"Sangat dan teramat tidak bagus. Suka loading dan lama padahal jaringan tetap bagus. Kalau ada materi dan tugas masuk, gak pernah ada muncul notifnya",2025-11-10 09:29:07,negatif
Pengguna Google,2,"Saran saya, segera di tambahkan fitur notifikasi ( alarm) untuk tugas yang akan deadline, jadi tidak harus selalu membuka apk, untuk melihat ada tugas tidaknya.. itu terlalu ribet menurut kami mahasiswa... semoga secepatnya di perbaiki.. terimakasih..",2025-11-07 19:38:58,negatif
Pengguna Google,5,aplikasinya bagus sangat membantu perkuliahan saya,2025-11-06 12:28:44,positif
Pengguna Google,5,"sejauh ini mungkin ini yang paling jauh,tapi kalo bisa saran saya buat notifikasi kalo mau quis gitu ada notif nya bahwasanya dosen sudah mulai cape mantau mantau udahlah dosen nya kadang gak bilang aba aba kita udah bisa mulai eh mau kadang hampir tertinggal,bdw satu lagi bisa buat tambahi wingdet biar gak lupa jadwal sama pengingat kalo udah besok nya mau masuk,terus kalo pembayaran cicilan buat juga nonfifkasi jangan cuma ke Gmail aja nonfifkasi maaf bukan gak suka sama apk ,saya beri saran",2025-11-06 10:25:39,positif
Pengguna Google,5,Menurut saya Aplikasi Edlink sangat membantu proses pembelajaran daring. Desain tampilannya simpel dan mudah dipahami sehingga saya dapat mudah mengakses materi atau mengirim tugas. Fitur-fiturnya juga lengkap dan praktis digunakan. Semoga ke depan Aplikasi Edlink semakin baik lagi.,2025-11-05 18:35:45,positif
Pengguna Google,5,sangat puas,2025-11-04 18:27:05,positif
Pengguna Google,5,"mohon di perbaiki lagi ya ka, kendala jaringan sedangkan sy open youtube, IG, Tiktok, bisa jaringannya bagus",2025-11-04 08:58:54,positif
Pengguna Google,1,Daily quest tidak bisa klaim. Padahal sudah ngumpulin tugas tapi poinnya tidak bisa di klaim.,2025-11-03 21:15:44,negatif
Pengguna Google,1,buq daily qoutes nya mohon diperbaiki,2025-11-01 15:38:51,negatif
Pengguna Google,4,ngak bisa kelaim poin walapun udh login ulang berkali kali,2025-10-29 12:29:47,positif
Pengguna Google,1,"ini sistem daily quest nya knp ya? kok gx bisa di klaim,sok-sokan buat reward,tp sistemnya hancur maaf min,ini saya beri bintang 1,karena tidak ada perubahan,masa berubahnya cuma sehari,trus rusak lagi,coba dong gmn sih",2025-10-29 12:23:26,negatif
Pengguna Google,1,"Notifikasi, jarang masuk, kelas jadi banyak terlewat atau membutuhkan aplikasi pihak ke-3 untuk pemberitahuan alternatif",2025-10-28 22:50:11,negatif
